EmpID,Age_ID,AgeGroup_ID,Attrition_ID,BusinessTravel_ID,DailyRate,Department_ID,DistanceFromHomeInKm,Education_ID,EducationField_ID,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction_ID,Gender_ID,HourlyRate,JobInvolvement,JobInvolvement_ID,JobLevel_ID,JobRole_ID,JobSatisfaction_ID,MaritalStatus_ID,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18_ID,OverTime_ID,PercentSalaryHike,PerformanceRating_ID,RelationshipSatisfaction_ID,StandardHours,StockOptionLevel_ID,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM297,1,1,1,1,230,1,4.8,1,1,1,405,1,1,54,High Involvement,1,1,1,1,1,1420,Upto 5k,25233,1,1,1,13,1,1,80,1,0,2,Satisfied,0,0,0,0
RM302,1,1,2,1,812,2,16.1,1,2,1,411,2,2,69,Moderate Involvement,2,1,2,1,1,1200,Upto 5k,9724,1,1,1,12,1,2,80,1,0,2,Satisfied,0,0,0,0
RM458,1,1,1,2,1306,2,8,1,3,1,614,3,1,69,High Involvement,1,1,2,2,1,1878,Upto 5k,8059,1,1,2,14,1,3,80,1,0,3,Satisfied,0,0,0,0
RM728,1,1,2,3,287,1,8,2,1,1,1012,3,1,73,High Involvement,1,1,3,3,1,1051,Upto 5k,13493,1,1,1,15,1,3,80,1,0,2,Satisfied,0,0,0,0
RM829,1,1,1,3,247,1,12.9,3,2,1,1156,1,1,80,High Involvement,1,1,1,1,1,1904,Upto 5k,13556,1,1,1,12,1,3,80,1,0,0,Satisfied,0,0,0,0
RM973,1,1,2,3,1124,1,1.6,1,1,1,1368,2,2,97,High Involvement,1,1,1,3,1,1611,Upto 5k,19305,1,1,1,15,1,1,80,1,0,5,Extremely Satisfied,0,0,0,0
RM1154,1,1,1,2,544,2,4.8,2,2,1,1624,3,2,70,High Involvement,1,1,2,3,1,1569,Upto 5k,18420,1,1,2,12,1,1,80,1,0,2,Extremely Satisfied,0,0,0,0
RM1312,1,1,2,3,1431,1,22.5,1,2,1,1839,3,2,33,High Involvement,1,1,3,1,1,1514,Upto 5k,8018,1,1,1,16,1,1,80,1,0,4,Extremely Dissatisfied,0,0,0,0
RM128,2,1,1,1,528,2,35.4,3,3,1,167,2,1,50,High Involvement,1,1,2,1,1,1675,Upto 5k,26820,1,1,2,19,1,3,80,1,0,2,Dissatisfied,0,0,0,0
RM150,2,1,2,1,1181,1,4.8,3,2,1,201,3,2,79,High Involvement,1,1,1,2,1,1483,Upto 5k,16102,1,1,1,14,1,3,80,1,1,3,Satisfied,1,0,0,0
RM172,2,1,1,2,602,2,1.6,3,4,1,235,1,2,100,Low Involvement,3,1,2,4,1,2325,Upto 5k,20989,0,1,1,21,2,2,80,1,1,5,Extremely Satisfied,0,0,0,0
RM178,2,1,1,1,303,1,3.2,1,1,1,243,3,1,47,Moderate Involvement,2,1,1,3,1,1102,Upto 5k,9241,1,1,1,22,2,1,80,1,1,3,Dissatisfied,1,0,1,0
RM423,2,1,1,1,489,3,3.2,2,4,1,566,4,1,52,Moderate Involvement,2,1,4,3,1,2564,Upto 5k,18437,1,1,1,12,1,1,80,1,1,3,Extremely Satisfied,1,0,0,0
RM689,2,1,1,1,419,2,33.8,1,5,1,959,2,1,37,Moderate Involvement,2,1,2,2,1,2121,Upto 5k,9947,1,1,2,13,1,4,80,1,1,3,Extremely Satisfied,1,0,0,0
RM854,2,1,2,1,645,1,14.5,2,1,1,1193,1,1,54,High Involvement,1,1,3,4,1,2552,Upto 5k,7172,1,1,1,25,2,1,80,1,1,4,Satisfied,1,1,0,0
RM893,2,1,1,3,504,1,16.1,1,2,1,1248,4,2,96,Moderate Involvement,2,1,3,2,1,1859,Upto 5k,6148,1,1,2,25,2,4,80,1,1,2,Extremely Satisfied,1,1,0,0
RM910,2,1,2,1,265,1,40.2,1,1,1,1269,3,2,57,Extremely High Involvement,4,1,3,3,1,2994,Upto 5k,21221,1,1,2,12,1,3,80,1,1,2,Satisfied,1,0,0,1
RM103,3,1,1,2,871,1,9.7,1,1,1,137,2,2,66,Moderate Involvement,2,1,1,3,1,2926,Upto 5k,19783,1,1,2,18,1,4,80,1,1,5,Satisfied,1,0,1,0
RM488,3,1,2,1,959,1,1.6,1,1,1,657,2,2,83,Moderate Involvement,2,1,3,2,1,2836,Upto 5k,11757,1,1,1,13,1,3,80,1,1,0,Extremely Satisfied,1,0,0,0
RM514,3,1,1,1,1362,1,16.1,3,2,1,701,2,1,32,High Involvement,1,1,3,1,1,1009,Upto 5k,26999,1,1,2,11,1,3,80,1,1,5,Satisfied,1,0,1,1
RM663,3,1,1,1,500,2,3.2,1,2,1,922,1,2,49,Moderate Involvement,2,1,2,1,1,2044,Upto 5k,22052,1,1,1,13,1,3,80,1,2,3,Dissatisfied,2,2,0,2
RM690,3,1,1,1,129,1,6.4,1,4,1,960,4,1,84,High Involvement,1,1,1,4,1,2973,Upto 5k,13008,1,1,1,19,1,4,80,1,1,2,Satisfied,1,0,0,0
RM732,3,1,1,1,1097,1,17.7,1,2,1,1016,2,2,98,Moderate Involvement,2,1,3,4,1,2600,Upto 5k,18275,1,1,2,15,1,2,80,1,1,2,Satisfied,1,0,0,0
RM777,3,1,1,2,769,2,14.5,1,3,1,1077,2,2,54,High Involvement,1,1,2,3,1,2323,Upto 5k,17205,1,1,2,14,1,4,80,1,2,3,Satisfied,2,2,0,2
RM857,3,1,2,1,805,1,4.8,1,1,1,1198,4,1,87,Moderate Involvement,2,1,1,1,1,3033,Upto 5k,12828,1,1,1,12,1,2,80,1,2,2,Dissatisfied,2,2,1,2
RM877,3,1,2,1,654,2,33.8,1,3,1,1226,1,1,43,Extremely High Involvement,4,1,2,3,1,2678,Upto 5k,5050,1,1,1,17,1,3,80,1,2,2,Satisfied,2,1,2,2
RM1179,3,1,2,1,1141,2,3.2,1,2,1,1657,1,2,31,High Involvement,1,1,2,1,1,2783,Upto 5k,13251,1,1,1,19,1,2,80,1,2,3,Satisfied,2,2,2,2
RM1198,3,1,2,1,727,2,14.5,3,1,1,1680,2,1,54,High Involvement,1,1,2,4,1,2728,Upto 5k,21082,1,1,1,11,1,2,80,1,2,3,Satisfied,2,2,0,2
RM024,4,1,2,1,391,1,24.1,2,1,1,30,1,1,96,High Involvement,1,1,3,3,1,1232,Upto 5k,19281,1,1,1,14,1,3,80,1,0,6,Satisfied,0,0,0,
RM275,4,1,2,1,996,1,4.8,2,2,1,379,2,1,100,Moderate Involvement,2,1,3,1,1,3230,Upto 5k,10531,1,1,1,17,1,2,80,1,3,4,Extremely Satisfied,3,2,1,0
RM358,4,1,1,2,756,2,1.6,3,4,1,478,4,2,99,Moderate Involvement,2,1,2,2,1,2174,Upto 5k,9150,1,1,2,11,1,1,80,1,3,3,Satisfied,3,2,1,2
RM363,4,1,2,3,895,2,14.5,2,2,1,484,4,1,39,High Involvement,1,1,2,3,1,2610,Upto 5k,2851,1,1,1,24,2,1,80,1,3,3,Dissatisfied,3,2,2,
RM371,4,1,1,1,156,2,19.3,1,1,1,494,1,2,90,Extremely High Involvement,4,1,2,2,1,2716,Upto 5k,25422,1,1,1,15,1,3,80,1,1,0,Satisfied,1,0,0,0
RM497,4,1,2,1,1343,2,35.4,3,4,1,669,1,1,49,High Involvement,1,1,2,1,1,3447,Upto 5k,24444,1,1,1,11,1,1,80,1,3,2,Satisfied,3,2,1,2
RM664,4,1,1,1,1427,1,29,3,5,1,923,2,2,65,High Involvement,1,1,3,3,1,2693,Upto 5k,8870,1,1,1,19,1,2,80,1,1,3,Dissatisfied,1,0,0,0
RM778,4,1,1,1,1334,1,16.1,1,1,1,1079,1,2,36,Moderate Involvement,2,1,1,4,1,1416,Upto 5k,17258,1,1,1,13,1,2,80,1,1,6,Dissatisfied,1,0,1,0
RM816,4,1,2,1,984,1,1.6,3,4,1,1131,2,2,70,Moderate Involvement,2,1,3,2,1,2070,Upto 5k,25326,1,1,2,11,1,1,80,1,2,6,Extremely Satisfied,2,2,2,2
RM916,4,1,1,2,251,1,16.1,2,1,1,1279,4,2,45,Moderate Involvement,2,1,1,1,1,2625,Upto 5k,25308,1,1,1,20,2,1,80,1,2,2,Extremely Dissatisfied,2,2,2,2
RM1153,4,1,2,1,546,1,8,3,2,1,1623,1,1,97,High Involvement,1,1,3,3,1,3117,Upto 5k,26009,1,1,1,18,1,1,80,1,3,2,Satisfied,2,2,2,2
RM1272,4,1,1,1,337,2,11.3,3,3,1,1780,3,1,31,High Involvement,1,1,2,2,1,2679,Upto 5k,4567,1,1,1,13,1,4,80,1,1,3,Satisfied,1,0,1,0
RM1437,4,1,2,1,501,2,8,3,2,1,2021,1,1,58,High Involvement,1,1,2,4,1,2380,Upto 5k,25479,1,1,2,11,1,3,80,1,2,6,Satisfied,2,2,1,2
RM018,5,1,2,3,1123,1,25.7,2,2,1,22,2,1,96,Extremely High Involvement,4,1,1,3,2,2935,Upto 5k,7324,1,1,2,13,1,4,80,2,1,2,Dissatisfied,1,0,0,0
RM110,5,1,2,1,534,1,24.1,1,2,1,144,3,2,59,High Involvement,1,1,1,3,1,2871,Upto 5k,23785,1,1,1,15,1,1,80,1,1,5,Satisfied,0,0,0,0
RM129,5,1,2,1,594,1,3.2,3,4,1,169,1,1,100,High Involvement,1,1,1,3,3,2523,Upto 5k,19299,0,1,1,14,1,1,80,3,3,2,Satisfied,2,1,2,1
RM161,5,1,2,1,1256,1,30.6,3,2,1,217,1,1,80,High Involvement,1,1,3,3,3,2323,Upto 5k,11992,1,1,1,24,2,2,80,2,2,6,Satisfied,2,2,2,2
RM207,5,1,2,1,1136,1,8,1,1,1,284,2,1,60,Extremely High Involvement,4,1,3,2,2,2328,Upto 5k,12392,1,1,2,16,1,2,80,3,4,2,Dissatisfied,4,2,2,
RM384,5,1,2,1,253,1,17.7,1,2,1,511,4,2,43,High Involvement,1,1,3,2,3,2244,Upto 5k,24440,1,1,1,13,1,3,80,3,2,1,Satisfied,2,1,1,2
RM444,5,1,1,2,1368,1,6.4,3,4,1,593,1,1,99,Moderate Involvement,2,1,1,1,1,3894,Upto 5k,9129,5,1,1,16,1,1,80,1,4,3,Satisfied,2,2,1,2
RM499,5,1,2,1,604,1,9.7,3,2,1,675,4,1,69,High Involvement,1,1,3,1,3,2773,Upto 5k,12145,0,1,1,20,2,3,80,1,3,3,Satisfied,2,2,2,2
RM631,5,1,2,1,1230,1,1.6,2,1,1,872,2,1,33,Moderate Involvement,2,2,5,3,3,4775,Upto 5k,19146,6,1,1,22,2,2,80,2,4,2,Extremely Dissatisfied,2,2,2,2
RM667,5,1,1,1,617,1,4.8,3,1,1,926,3,2,34,High Involvement,1,2,5,1,3,4171,Upto 5k,10022,0,1,2,19,1,2,80,3,4,3,Extremely Satisfied,3,2,0,2
RM735,5,1,2,1,217,1,12.9,3,1,1,1019,3,1,94,Low Involvement,3,1,1,4,3,2451,Upto 5k,6881,1,1,1,15,1,2,80,3,4,3,Dissatisfied,4,3,1,1
RM861,5,1,1,2,1256,1,4.8,4,1,1,1203,1,1,48,Moderate Involvement,2,1,3,3,3,2853,Upto 5k,4223,0,1,2,11,1,4,80,3,1,5,Satisfied,0,0,0,0
RM1138,5,1,2,3,457,1,41.8,2,5,1,1605,3,2,85,Moderate Involvement,2,1,3,1,3,2814,Upto 5k,10293,1,1,2,14,1,4,80,1,4,2,Dissatisfied,4,2,1,3
RM1274,5,1,1,1,1294,1,12.9,3,2,1,1783,1,2,79,High Involvement,1,1,1,4,3,2398,Upto 5k,15999,1,1,2,17,1,1,80,1,1,6,Satisfied,1,0,0,0
RM1340,5,1,1,1,391,1,11.3,3,1,1,1878,2,1,75,High Involvement,1,1,3,2,1,2472,Upto 5k,26092,1,1,2,23,2,2,80,1,1,2,Satisfied,1,0,0,0
RM1424,5,1,2,1,581,1,1.6,2,1,1,2007,2,1,63,High Involvement,1,1,3,1,1,3375,Upto 5k,17624,0,1,1,12,1,3,80,1,4,2,Extremely Satisfied,3,2,1,2
RM087,6,1,2,1,541,2,3.2,3,4,1,113,1,1,62,High Involvement,1,1,2,4,2,2322,Upto 5k,9518,3,1,1,13,1,1,80,3,3,3,Satisfied,0,0,0,0
RM346,6,1,2,1,1309,1,41.8,3,1,1,465,1,1,83,High Involvement,1,1,3,3,2,2904,Upto 5k,16092,1,1,1,12,1,1,80,2,4,2,Dissatisfied,4,2,0,2
RM517,6,1,2,1,885,1,6.4,1,2,1,705,4,1,58,Extremely High Involvement,4,1,3,4,3,2819,Upto 5k,8544,2,1,1,16,1,2,80,3,5,3,Extremely Satisfied,3,2,0,2
RM551,6,1,2,1,650,1,14.5,3,2,1,758,3,1,37,High Involvement,1,1,1,4,3,2500,Upto 5k,4344,1,1,1,14,1,3,80,3,5,2,Extremely Satisfied,4,3,0,2
RM566,6,1,2,1,310,1,16.1,3,2,1,784,4,1,79,Extremely High Involvement,4,1,3,1,1,3505,Upto 5k,19630,1,1,1,18,1,3,80,1,2,3,Satisfied,2,2,0,2
RM586,6,1,1,1,1243,1,9.7,1,1,1,811,1,1,63,Extremely High Involvement,4,1,1,4,3,1601,Upto 5k,3445,1,1,2,21,2,1,80,2,1,2,Satisfied,0,0,0,0
